commentId,text,reviewId,commenterId,timePosted,updatedAt
24,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",15,19,2022-07-18 19:46:44,2022-01-07 08:08:12
25,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",32,11,2019-10-30 01:50:05,2021-11-30 08:14:13
26,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,17,27,2020-08-30 13:11:30,2022-12-02 20:51:43
27,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,23,19,2019-09-24 18:35:50,2021-11-25 22:29:03
28,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",36,26,2019-02-11 20:49:55,2021-12-27 07:37:23
29,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,34,15,2019-06-17 12:30:37,2021-07-09 13:38:27
30,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,37,26,2023-07-12 03:30:01,2022-03-02 07:43:45
31,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",18,12,2014-09-12 09:04:44,2021-12-24 11:00:57
32,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",28,5,2017-06-30 14:46:34,2021-12-03 21:46:25
33,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",24,1,2017-03-22 13:34:44,2021-11-08 18:12:20
34,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",14,38,2022-04-19 21:15:45,2021-08-20 11:17:02
35,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,38,25,2020-02-21 08:05:36,2022-01-18 03:47:10
36,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,23,9,2014-09-02 09:15:50,2021-05-19 03:35:54
37,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",14,30,2014-11-18 15:32:44,2021-04-10 04:23:13
38,Quisque porta volutpat erat.,34,34,2015-06-16 15:20:42,2021-10-21 23:12:58
39,Cras pellentesque volutpat dui.,24,21,2015-04-13 04:52:14,2021-11-02 08:24:22
40,Duis at velit eu est congue elementum.,28,27,2020-07-08 17:35:31,2021-09-27 14:16:08
